,Date,Time,AM-PM,Water Level +/- MSL,Well Elevation,Well Name
21,3/16/1993,10:20:00,AM,32.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
22,4/19/1993,9:12:00,AM,28.23,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
23,5/24/1993,2:00:00,PM,31.7,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
24,6/28/1993,9:20:00,AM,32.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
25,7/27/1993,9:35:00,AM,22.46,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
26,9/1/1993,9:30:00,AM,31.7,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
27,4/6/1994,12:00:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
28,7/19/1994,10:00:00,AM,35.93,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
29,8/15/1994,8:55:00,AM,32.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
30,9/14/1994,9:00:00,AM,33.78,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
31,10/24/1994,8:50:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
32,11/16/1994,9:10:00,AM,34.93,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
33,12/19/1994,9:25:00,AM,36.32,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
34,1/18/1995,9:20:00,AM,33.08,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
35,2/21/1995,9:30:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
36,3/20/1995,9:30:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
37,4/24/1995,9:20:00,AM,22.22,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
38,8/30/1995,10:15:00,AM,19.68,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
39,11/27/1995,1:15:00,PM,30.54,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
40,12/19/1995,11:10:00,AM,34.24,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
41,1/23/1996,8:35:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
42,2/13/1996,11:50:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
43,3/26/1996,9:10:00,AM,36.08,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
44,4/24/1996,10:25:00,AM,37.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
45,5/20/1996,10:00:00,AM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
46,6/20/1996,9:25:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
47,7/26/1996,9:15:00,AM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
48,8/13/1996,9:25:00,AM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
49,9/12/1996,10:05:00,AM,35.39,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
50,10/16/1996,9:40:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
51,11/18/1996,10:25:00,AM,37.7,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
52,12/16/1996,10:20:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
53,1/15/1997,10:10:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
54,2/20/1997,10:25:00,AM,27.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
55,3/21/1997,12:40:00,PM,37.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
56,4/21/1997,8:50:00,AM,37.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
57,5/13/1997,9:45:00,AM,38.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
58,6/23/1997,8:40:00,AM,38.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
59,7/17/1997,12:25:00,PM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
60,8/26/1997,11:40:00,AM,37.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
61,9/24/1997,9:45:00,AM,36.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
62,10/22/1997,9:05:00,AM,37.27,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
63,12/9/1997,11:05:00,AM,38.37,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
64,1/27/1998,9:20:00,AM,38.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
65,2/24/1998,9:00:00,AM,38.37,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
66,3/20/1998,9:20:00,AM,41.17,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
67,4/22/1998,9:40:00,AM,39.57,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
68,5/14/1998,10:10:00,AM,39.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
69,6/15/1998,9:45:00,AM,40.27,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
70,7/20/1998,9:10:00,AM,37.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
71,8/17/1998,9:55:00,AM,36.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
72,9/18/1998,1:50:00,PM,36.57,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
73,10/27/1998,10:40:00,AM,36.27,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
74,11/20/1998,10:35:00,AM,36.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
75,12/15/1998,9:40:00,AM,36.07,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
76,1/14/1999,9:40:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
77,4/27/1999,11:30:00,AM,37.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
78,5/25/1999,10:10:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
79,7/20/1999,9:25:00,AM,38.37,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
80,9/29/1999,12:00:00,PM,36.57,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
81,10/26/1999,9:45:00,AM,36.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
82,11/29/1999,2:10:00,PM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
83,12/17/1999,10:10:00,AM,38.37,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
84,1/25/2000,10:45:00,AM,38.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
85,2/22/2000,10:35:00,AM,38.37,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
86,3/27/2000,9:55:00,AM,38.87,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
87,4/18/2000,11:05:00,AM,39.27,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
88,5/30/2000,11:45:00,AM,34.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
89,6/28/2000,11:40:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
90,8/7/2000,9:55:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
91,9/27/2000,1:40:00,PM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
92,11/14/2000,10:45:00,AM,35.39,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
93,12/13/2000,10:45:00,AM,36.31,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
94,1/16/2001,10:20:00,AM,37.68,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
95,2/14/2001,1:30:00,PM,37.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
96,3/17/2001,10:50:00,AM,38.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
97,4/13/2001,10:10:00,AM,38.63,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
98,5/21/2001,10:10:00,AM,37.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
99,6/20/2001,10:40:00,AM,35.89,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
100,7/16/2001,9:40:00,AM,37.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
101,8/14/2001,11:00:00,AM,36.78,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
102,9/20/2001,12:35:00,PM,35.89,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
103,11/7/2001,1:25:00,PM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
104,12/11/2001,11:00:00,AM,37.02,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
105,1/16/2002,11:00:00,AM,37.02,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
106,2/26/2002,10:00:00,AM,36.78,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
107,4/1/2002,12:45:00,PM,36.32,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
108,5/22/2002,1:45:00,PM,37.93,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
109,6/26/2002,1:20:00,PM,36.08,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
110,7/15/2002,10:35:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
111,8/28/2002,10:00:00,AM,36.32,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
112,10/28/2002,1:10:00,PM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
113,12/2/2002,9:15:00,AM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
114,1/14/2003,9:25:00,AM,36.32,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
115,2/18/2003,9:50:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
116,3/19/2003,9:40:00,AM,36.08,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
117,4/30/2003,9:35:00,AM,31.23,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
118,5/2/2003,8:20:00,AM,36.31,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
119,5/3/2003,2:13:00,PM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
120,6/2/2003,1:00:00,AM,37.65,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
121,6/3/2003,11:30:00,AM,35.28,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
122,6/30/2003,2:55:00,AM,36.82,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
123,8/1/2003,7:27:00,AM,35.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
124,8/6/2003,9:12:00,AM,33.2,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
125,8/29/2003,9:23:00,AM,34.07,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
126,9/28/2003,12:37:00,PM,33.84,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
127,10/6/2003,12:00:00,PM,32.28,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
128,10/30/2003,5:09:00,PM,34.29,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
129,11/29/2003,8:22:00,PM,35.15,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
130,12/5/2003,10:08:00,AM,34.93,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
131,1/3/2004,2:13:00,AM,36.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
132,1/28/2004,10:23:00,AM,37.14,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
133,2/10/2004,1:25:00,PM,35.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
134,3/1/2004,7:22:00,AM,37.6,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
135,4/2/2004,1:18:00,PM,37.05,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
136,4/4/2004,1:13:00,PM,37.95,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
137,5/2/2004,3:08:00,PM,38.15,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
138,6/3/2004,1:10:00,PM,34.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
139,6/3/2004,7:40:00,PM,37.86,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
140,6/29/2004,3:50:00,AM,37.05,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
141,7/29/2004,7:04:00,AM,36.51,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
142,8/11/2004,12:09:00,PM,34.54,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
143,8/28/2004,10:17:00,AM,34.88,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
144,9/29/2004,2:51:00,PM,34.61,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
145,10/5/2004,2:00:00,PM,34.14,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
146,10/29/2004,6:04:00,PM,35.18,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
147,11/28/2004,9:18:00,PM,34.99,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
148,12/1/2004,9:48:00,AM,34.58,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
149,1/2/2005,3:08:00,AM,35.58,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
150,2/1/2005,6:23:00,AM,36.31,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
151,2/3/2005,1:49:00,PM,35.02,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
152,3/3/2005,9:36:00,AM,37.12,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
153,3/28/2005,5:47:00,PM,37.79,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
154,3/30/2005,11:27:00,AM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
155,5/7/2005,11:06:00,AM,37.88,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
156,6/1/2005,7:17:00,PM,38.0,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
157,6/3/2005,8:15:00,AM,35.86,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
158,6/29/2005,4:46:00,AM,37.21,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
159,7/29/2005,7:59:00,AM,36.87,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
160,8/2/2005,9:28:00,AM,33.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
161,9/2/2005,6:17:00,AM,35.04,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
162,9/27/2005,2:26:00,PM,34.48,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
163,10/6/2005,2:20:00,PM,33.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
164,10/29/2005,6:59:00,PM,34.99,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
165,12/2/2005,2:50:00,PM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
166,12/3/2005,5:16:00,PM,35.89,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
167,12/31/2005,2:45:00,AM,36.43,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
168,2/4/2006,1:03:00,AM,37.04,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
169,2/6/2006,8:47:00,AM,37.24,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
170,3/6/2006,4:16:00,AM,37.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
171,4/4/2006,10:25:00,AM,37.24,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
172,4/7/2006,8:48:00,AM,37.26,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
173,5/2/2006,4:59:00,PM,36.96,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
174,5/30/2006,6:54:00,PM,37.12,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
175,6/7/2006,12:14:00,PM,35.62,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
176,6/29/2006,10:07:00,PM,36.64,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
177,8/1/2006,2:39:00,AM,35.42,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
178,8/2/2006,11:43:00,AM,34.69,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
179,10/9/2006,11:00:00,AM,33.08,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
180,12/8/2006,1:16:00,PM,32.64,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
181,1/2/2007,9:25:00,PM,35.11,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
182,2/2/2007,12:38:00,AM,35.35,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
183,2/2/2007,10:45:00,AM,34.19,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
184,3/1/2007,10:09:00,AM,36.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
185,4/2/2007,2:41:00,PM,36.22,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
186,4/3/2007,4:00:00,PM,35.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
187,5/2/2007,5:54:00,PM,36.51,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
188,2/6/2009,12:35:00,PM,35.37,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
189,3/3/2009,5:44:00,AM,36.01,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
190,4/2/2009,8:57:00,AM,36.22,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
191,5/4/2009,1:29:00,PM,36.58,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
192,5/27/2009,8:21:00,PM,36.7,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
193,5/29/2009,11:46:00,AM,35.28,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
194,7/1/2009,6:38:00,PM,36.04,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
195,7/29/2009,8:52:00,AM,33.31,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
196,8/2/2009,11:11:00,PM,34.92,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
197,8/30/2009,8:39:00,AM,33.35,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
198,9/29/2009,11:52:00,AM,32.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
199,11/3/2009,10:10:00,AM,33.35,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
200,11/28/2009,6:20:00,PM,34.03,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
201,12/3/2009,1:28:00,PM,33.36,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
202,12/30/2009,10:53:00,PM,34.98,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
203,2/1/2010,3:25:00,AM,35.86,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
204,3/6/2010,12:24:00,AM,36.24,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
205,4/7/2010,4:56:00,AM,36.65,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
206,4/15/2010,8:03:00,AM,35.39,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
207,4/30/2010,11:48:00,AM,37.0,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
208,6/1/2010,4:20:00,PM,36.93,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
209,7/1/2010,7:33:00,PM,36.79,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
210,7/27/2010,12:00:00,PM,34.24,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
211,7/29/2010,5:02:00,AM,36.28,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
212,8/26/2010,6:57:00,AM,35.43,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
213,9/27/2010,11:29:00,AM,35.04,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
214,11/1/2010,9:47:00,AM,35.78,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
215,11/28/2010,7:16:00,PM,36.19,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
216,11/30/2010,8:18:00,AM,35.86,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
217,12/26/2010,9:11:00,PM,36.84,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
218,1/30/2011,3:01:00,AM,36.98,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
219,3/6/2011,1:19:00,AM,37.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
220,4/7/2011,5:51:00,AM,38.51,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
221,4/11/2011,9:00:00,AM,,,AAA001  KPUD KEYPORT PRODUCTION WELL 1
222,4/30/2011,12:43:00,PM,40.05,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
223,6/3/2011,9:55:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
224,6/8/2011,1:37:00,PM,39.41,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
225,7/8/2011,4:50:00,PM,39.52,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
226,8/7/2011,8:05:00,PM,39.17,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
227,9/4/2011,5:34:00,AM,38.34,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
228,9/30/2011,6:10:00,AM,37.86,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
229,10/5/2011,8:27:00,AM,36.13,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
230,11/3/2011,12:01:00,PM,37.54,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
231,12/1/2011,1:56:00,PM,37.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
232,1/2/2012,6:28:00,PM,38.49,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
233,1/21/2012,6:15:00,AM,39.33,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
234,2/27/2012,5:52:00,AM,39.48,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
235,4/4/2012,5:28:00,AM,39.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
236,4/4/2012,9:50:00,AM,37.67,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
237,5/4/2012,8:41:00,AM,40.09,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
238,6/3/2012,11:55:00,AM,40.16,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
239,7/5/2012,4:27:00,PM,40.06,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
240,7/30/2012,9:26:00,AM,36.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
241,7/31/2012,12:37:00,AM,39.59,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
242,8/28/2012,2:32:00,AM,38.59,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
243,9/24/2012,12:01:00,PM,37.86,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
244,10/19/2012,8:12:00,PM,37.77,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
245,11/2/2012,12:56:00,PM,37.85,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
246,11/28/2012,1:32:00,PM,38.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
247,12/4/2012,9:35:00,AM,38.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
248,1/29/2013,9:18:00,PM,38.97,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
249,3/3/2013,1:50:00,AM,39.56,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
250,3/28/2013,10:01:00,AM,40.02,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
251,5/2/2013,8:18:00,AM,40.09,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
252,6/3/2013,12:50:00,PM,39.99,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
253,6/5/2013,9:20:00,AM,37.47,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
254,6/17/2013,12:21:00,PM,37.89,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
255,6/30/2013,10:19:00,PM,38.76,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
256,7/26/2013,10:55:00,PM,37.93,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
257,7/30/2013,9:30:00,AM,36.55,13.00,AAA001  KPUD KEYPORT PRODUCTION WELL 1
